Question,Consensus Answer,GPT4
Opening,4,
Elicits Spectrum of Concerns,5,
Negotiates Priorities and Sets Agenda,5,
Eliciting the Narrative Thread or the 'Patient's Story',3,
Timeline,N/A,
Organization,4,
Pacing of Interview,5,
Types of Questions,4,
Summarizing,4,
Duplication,N/A,
Lack of Jargon,4,
Verification of Patient Information,N/A,
Verbal Facilitation Skills,4,
Non-Verbal Facilitation Skills,4,
Empathy and Acknowledging Patient Cues,4,
Impact of Illness on Patient and Patients Self-Image,N/A,
Support Systems,5,
Encouragement of Questions,5,
Closure,5,
ÊPatient's Perspective (Beliefs)Ê,N/A,N/A
" Patient's Education and Understanding 	",5,N/A
" Assess Motivation for Changes 	",5,N/A
Achieve a Shared Plan,5,
