Question,Consensus Answer,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,4.0,5,5,4,5
Elicits Spectrum of Concerns,5.0,5,4,4,2
Negotiates Priorities and Sets Agenda,5.0,3,5,5,5
Eliciting the Narrative Thread or the 'Patient's Story',3.0,3,3,5,3
Timeline,,3,3,5,5
Organization,4.0,5,5,5,5
Pacing of Interview,5.0,5,5,5,5
Types of Questions,4.0,3,5,3,5
Summarizing,4.0,5,5,5,5
Duplication,,5,5,5,5
Lack of Jargon,4.0,5,5,5,5
Verification of Patient Information,,5,4,5,5
Verbal Facilitation Skills,4.0,5,5,5,5
Non-Verbal Facilitation Skills,4.0,3,5,Not Applicable,5
Empathy and Acknowledging Patient Cues,4.0,5,5,5,5
Impact of Illness on Patient and Patients Self-Image,,3,3,4,3
Support Systems,5.0,3,3,3,5
Encouragement of Questions,5.0,5,5,5,5
Closure,5.0,5,5,5,5
ÃPatient's Perspective (Beliefs)Ã,4.0,5,3,4,4
 Patient's Education and Understanding 	,5.0,5,4,5,3
 Assess Motivation for Changes 	,5.0,5,5,5,5
Achieve a Shared Plan,5.0,5,5,5,5
