Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,3.0,,5.0,5,5,5
Elicits Spectrum of Concerns,5.0,,4.0,4,4,4
Negotiates Priorities and Sets Agenda,3.0,,3.0,3,5,2
Eliciting the Narrative Thread or the 'Patient's Story',,,5.0,3,4,3
Timeline,,,3.0,3,3,3
Organization,4.0,,5.0,5,5,5
Pacing of Interview,5.0,,5.0,5,5,5
Types of Questions,4.0,,5.0,4,3,5
Summarizing,4.0,,1.0,3,3,1
Duplication,,,5.0,5,5,5
Lack of Jargon,5.0,,5.0,5,5,5
Verification of Patient Information,4.0,,5.0,3,5,3
Verbal Facilitation Skills,5.0,,5.0,5,5,5
Non-Verbal Facilitation Skills,4.0,,,5,N/A due to lack of information on non-verbal communication,5
Empathy and Acknowledging Patient Cues,5.0,,3.0,3,5,3
Impact of Illness on Patient and Patients Self-Image,3.0,,3.0,3,3,3
Support Systems,4.0,,3.0,3,3,3
Encouragement of Questions,4.0,,5.0,3,5,4
Closure,5.0,,5.0,5,5,5
ÊPatient's Perspective (Beliefs)Ê,4.0,,3.0,3,3,3
 Patient's Education and Understanding 	,3.0,,4.0,3,4,2
 Assess Motivation for Changes 	,5.0,,5.0,5,5,3
Achieve a Shared Plan,3.0,,5.0,5,5,5
