Question,Consensus Answer,GPT4
Opening,5,5
Elicits Spectrum of Concerns,2,3
Negotiates Priorities and Sets Agenda,2,3
Eliciting the Narrative Thread or the 'Patient's Story',3,4
Timeline,4,5
Organization,5,5
Pacing of Interview,4,5
Types of Questions,3,5
Summarizing,5,5
Duplication,5,5
Lack of Jargon,5,5
Verification of Patient Information,5,5
Verbal Facilitation Skills,4,5
Non-Verbal Facilitation Skills,3,N/A
Empathy and Acknowledging Patient Cues,4,5
Impact of Illness on Patient and Patients Self-Image,4,1
Support Systems,4,3
Encouragement of Questions,2,2
Closure,3,3
