Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,2,3.0,3.0,3,3,2
Elicits Spectrum of Concerns,5,5.0,5.0,5,5,4
Negotiates Priorities and Sets Agenda,5,5.0,4.0,2,5,5
Eliciting the Narrative Thread or the 'Patient's Story',4,4.0,4.0,3,5,3
Timeline,4,5.0,5.0,4,5,5
Organization,4,5.0,5.0,5,5,5
Pacing of Interview,5,5.0,5.0,5,5,5
Types of Questions,5,5.0,5.0,4,5,5
Summarizing,3,4.0,4.0,3,3,3
Duplication,5,5.0,5.0,5,5,5
Lack of Jargon,2,5.0,5.0,5,4,5
Verification of Patient Information,3,5.0,5.0,4,5,3
Verbal Facilitation Skills,4,4.0,5.0,3,5,3
Non-Verbal Facilitation Skills,4,,,5,3,5
Empathy and Acknowledging Patient Cues,3,3.0,5.0,3,4,3
Impact of Illness on Patient and Patients Self-Image,4,3.0,3.0,3,3,3
Support Systems,1,1.0,3.0,3,1,3
Encouragement of Questions,5,5.0,4.0,4,5,5
Closure,5,1.0,1.0,1,3,3
