Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,4.0,,3.0,3,3,3
Elicits Spectrum of Concerns,3.0,,3.0,5,3,4
Negotiates Priorities and Sets Agenda,3.0,,2.0,2,3,3
Eliciting the Narrative Thread or the 'Patient's Story',4.0,,3.0,4,3,3
Timeline,4.0,,3.0,3,5,5
Organization,3.0,,5.0,5,5,5
Pacing of Interview,2.0,,5.0,5,5,5
Types of Questions,4.0,,5.0,4,5,5
Summarizing,3.0,,1.0,3,3,1
Duplication,,,5.0,5,5,5
Lack of Jargon,2.0,,5.0,5,5,5
Verification of Patient Information,,,5.0,5,5,5
Verbal Facilitation Skills,4.0,,5.0,5,4,5
Non-Verbal Facilitation Skills,4.0,,,5,This scenario cannot be scored accurately due to the lack of explicit non-verbal communication descriptors.,5
Empathy and Acknowledging Patient Cues,3.0,,4.0,3,4,5
Impact of Illness on Patient and Patients Self-Image,,,1.0,3,1,3
Support Systems,5.0,,3.0,3,1,3
Encouragement of Questions,5.0,,5.0,5,5,5
Closure,3.0,,3.0,4,5,3
ÊPatient's Perspective (Beliefs)Ê,5.0,,5.0,4,5,4
 Patient's Education and Understanding 	,3.0,,4.0,4,5,3
 Assess Motivation for Changes 	,,,3.0,3,5,3
