Question,Consensus Answer,GPT4
Opening,5,
Elicits Spectrum of Concerns,5,
Negotiates Priorities and Sets Agenda,4,
Eliciting the Narrative Thread or the 'Patient's Story',4,
Timeline,3,
Organization,5,
Pacing of Interview,5,
Types of Questions,4,
Summarizing,2,
Duplication,5,
Lack of Jargon,5,
Verification of Patient Information,N/A,
Verbal Facilitation Skills,5,
Non-Verbal Facilitation Skills,5,
Empathy and Acknowledging Patient Cues,4,
Impact of Illness on Patient and Patients Self-Image,N/A,
Support Systems,5,
Encouragement of Questions,5,
Closure,1,
ÊPatient's Perspective (Beliefs)Ê,2,N/A
" Patient's Education and Understanding 	",3,N/A
" Assess Motivation for Changes 	",4,N/A
