Question,Consensus Answer,GPT4
Opening,3,3
Elicits Spectrum of Concerns,2,3
Negotiates Priorities and Sets Agenda,1,1
Eliciting the Narrative Thread or the 'Patient's Story',5,5
Timeline,4,5
Organization,5,5
Pacing of Interview,4,5
Types of Questions,3,5
Summarizing,2,1
Duplication,4,5
Lack of Jargon,5,5
Verification of Patient Information,3,5
Verbal Facilitation Skills,4,4
Non-Verbal Facilitation Skills,3,N/A
Empathy and Acknowledging Patient Cues,4,3
Impact of Illness on Patient and Patients Self-Image,4,3
Support Systems,5,3
Encouragement of Questions,2,1
Closure,3,1
Opening,5,5
Elicits Spectrum of Concerns,5,5
Negotiates Priorities and Sets Agenda,5,3
Eliciting the Narrative Thread or the 'Patient's Story',2,5
Timeline,3,5
Organization,3,5
Pacing of Interview,5,5
Types of Questions,4,5
Summarizing,5,5
Duplication,4,5
Lack of Jargon,3,5
Verification of Patient Information,5,5
Verbal Facilitation Skills,5,5
Non-Verbal Facilitation Skills,5,N/A
Empathy and Acknowledging Patient Cues,4,5
Impact of Illness on Patient and Patients Self-Image,1,3
Support Systems,2,1
Encouragement of Questions,4,4
Closure,5,1
Opening,5,5
Elicits Spectrum of Concerns,2,3
Negotiates Priorities and Sets Agenda,2,3
Eliciting the Narrative Thread or the 'Patient's Story',3,4
Timeline,4,5
Organization,5,5
Pacing of Interview,4,5
Types of Questions,3,5
Summarizing,5,5
Duplication,5,5
Lack of Jargon,5,5
Verification of Patient Information,5,5
Verbal Facilitation Skills,4,5
Non-Verbal Facilitation Skills,3,N/A
Empathy and Acknowledging Patient Cues,4,5
Impact of Illness on Patient and Patients Self-Image,4,1
Support Systems,4,3
Encouragement of Questions,2,2
Closure,3,3
Opening,2,3
Elicits Spectrum of Concerns,5,5
Negotiates Priorities and Sets Agenda,5,5
Eliciting the Narrative Thread or the 'Patient's Story',4,4
Timeline,4,5
Organization,4,5
Pacing of Interview,5,5
Types of Questions,5,5
Summarizing,3,4
Duplication,5,5
Lack of Jargon,2,5
Verification of Patient Information,3,5
Verbal Facilitation Skills,4,4
Non-Verbal Facilitation Skills,4,N/A
Empathy and Acknowledging Patient Cues,3,3
Impact of Illness on Patient and Patients Self-Image,4,3
Support Systems,1,1
Encouragement of Questions,5,5
Closure,5,1
