Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples,Casename
Opening,3,,5,5,5,5,Behavioral3
Elicits Spectrum of Concerns,5,,4,4,4,4,Behavioral3
Negotiates Priorities and Sets Agenda,3,,3,3,5,2,Behavioral3
Eliciting the Narrative Thread or the 'Patient's Story',,,5,3,4,3,Behavioral3
Timeline,,,3,3,3,3,Behavioral3
Organization,4,,5,5,5,5,Behavioral3
Pacing of Interview,5,,5,5,5,5,Behavioral3
Types of Questions,4,,5,4,3,5,Behavioral3
Summarizing,4,,1,3,3,1,Behavioral3
Duplication,,,5,5,5,5,Behavioral3
Lack of Jargon,5,,5,5,5,5,Behavioral3
Verification of Patient Information,4,,5,3,5,3,Behavioral3
Verbal Facilitation Skills,5,,5,5,5,5,Behavioral3
Non-Verbal Facilitation Skills,4,,,5,N/A due to lack of information on non-verbal communication,5,Behavioral3
Empathy and Acknowledging Patient Cues,5,,3,3,5,3,Behavioral3
Impact of Illness on Patient and Patients Self-Image,3,,3,3,3,3,Behavioral3
Support Systems,4,,3,3,3,3,Behavioral3
Encouragement of Questions,4,,5,3,5,4,Behavioral3
Closure,5,,5,5,5,5,Behavioral3
ÊPatient's Perspective (Beliefs)Ê,4,,3,3,3,3,Behavioral3
" Patient's Education and Understanding 	",3,,4,3,4,2,Behavioral3
" Assess Motivation for Changes 	",5,,5,5,5,3,Behavioral3
Achieve a Shared Plan,3,,5,5,5,5,Behavioral3
Opening,4,,3,3,3,3,Dental2
Elicits Spectrum of Concerns,3,,3,5,3,4,Dental2
Negotiates Priorities and Sets Agenda,3,,2,2,3,3,Dental2
Eliciting the Narrative Thread or the 'Patient's Story',4,,3,4,3,3,Dental2
Timeline,4,,3,3,5,5,Dental2
Organization,3,,5,5,5,5,Dental2
Pacing of Interview,2,,5,5,5,5,Dental2
Types of Questions,4,,5,4,5,5,Dental2
Summarizing,3,,1,3,3,1,Dental2
Duplication,,,5,5,5,5,Dental2
Lack of Jargon,2,,5,5,5,5,Dental2
Verification of Patient Information,,,5,5,5,5,Dental2
Verbal Facilitation Skills,4,,5,5,4,5,Dental2
Non-Verbal Facilitation Skills,4,,,5,This scenario cannot be scored accurately due to the lack of explicit non-verbal communication descriptors.,5,Dental2
Empathy and Acknowledging Patient Cues,3,,4,3,4,5,Dental2
Impact of Illness on Patient and Patients Self-Image,,,1,3,1,3,Dental2
Support Systems,5,,3,3,1,3,Dental2
Encouragement of Questions,5,,5,5,5,5,Dental2
Closure,3,,3,4,5,3,Dental2
ÊPatient's Perspective (Beliefs)Ê,5,,5,4,5,4,Dental2
" Patient's Education and Understanding 	",3,,4,4,5,3,Dental2
" Assess Motivation for Changes 	",,,3,3,5,3,Dental2
Opening,5,,4,5,5,5,Behavioral2
Elicits Spectrum of Concerns,5,,4,4,4,3,Behavioral2
Negotiates Priorities and Sets Agenda,4,,4,3,5,4,Behavioral2
Eliciting the Narrative Thread or the 'Patient's Story',,,5,5,5,3,Behavioral2
Timeline,,,3,3,5,5,Behavioral2
Organization,2,,5,5,5,5,Behavioral2
Pacing of Interview,5,,4,5,5,5,Behavioral2
Types of Questions,4,,5,5,5,5,Behavioral2
Summarizing,5,,5,5,5,5,Behavioral2
Duplication,,,5,5,5,5,Behavioral2
Lack of Jargon,5,,5,5,5,5,Behavioral2
Verification of Patient Information,,,5,4,5,5,Behavioral2
Verbal Facilitation Skills,5,,5,5,5,5,Behavioral2
Non-Verbal Facilitation Skills,5,,N/A due to lack of information on non-verbal cues,5,,5,Behavioral2
Empathy and Acknowledging Patient Cues,5,,3,3,5,5,Behavioral2
Impact of Illness on Patient and Patients Self-Image,,,3,3,3,3,Behavioral2
Support Systems,4,,2,3,3,3,Behavioral2
Encouragement of Questions,2,,2,2,2,2,Behavioral2
Closure,5,,4,5,5,5,Behavioral2
ÊPatient's Perspective (Beliefs)Ê,5,,4,3,3,3,Behavioral2
" Patient's Education and Understanding 	",5,,4,3,4,3,Behavioral2
" Assess Motivation for Changes 	",4,,5,5,5,3,Behavioral2
Achieve a Shared Plan,2,,5,5,5,3,Behavioral2
