Question,Consensus Answer,GPT4
Opening,5,
Elicits Spectrum of Concerns,5,
Negotiates Priorities and Sets Agenda,4,
Eliciting the Narrative Thread or the 'Patient's Story',N/A,
Timeline,N/A,
Organization,2,
Pacing of Interview,5,
Types of Questions,4,
Summarizing,5,
Duplication,N/A,
Lack of Jargon,5,
Verification of Patient Information,N/A,
Verbal Facilitation Skills,5,
Non-Verbal Facilitation Skills,5,
Empathy and Acknowledging Patient Cues,5,
Impact of Illness on Patient and Patients Self-Image,N/A,
Support Systems,4,
Encouragement of Questions,2,
Closure,5,
ÊPatient's Perspective (Beliefs)Ê,5,N/A
" Patient's Education and Understanding 	",5,N/A
" Assess Motivation for Changes 	",4,N/A
Achieve a Shared Plan,2,
