Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,3,3.0,3.0,4,4.0,4
Elicits Spectrum of Concerns,2,3.0,4.0,3,3.0,4
Negotiates Priorities and Sets Agenda,1,1.0,2.0,2,1.0,2
Eliciting the Narrative Thread or the 'Patient's Story',5,5.0,5.0,5,5.0,5
Timeline,4,5.0,5.0,5,5.0,5
Organization,5,5.0,5.0,5,5.0,5
Pacing of Interview,4,5.0,5.0,5,5.0,5
Types of Questions,3,5.0,5.0,5,5.0,5
Summarizing,2,1.0,1.0,1,1.0,1
Duplication,4,5.0,5.0,5,5.0,5
Lack of Jargon,5,5.0,5.0,5,5.0,5
Verification of Patient Information,3,5.0,5.0,5,5.0,5
Verbal Facilitation Skills,4,4.0,5.0,5,5.0,5
Non-Verbal Facilitation Skills,3,,3.0,5,,5
Empathy and Acknowledging Patient Cues,4,3.0,3.0,5,3.0,5
Impact of Illness on Patient and Patients Self-Image,4,3.0,3.0,1,3.0,3
Support Systems,5,3.0,3.0,3,3.0,3
Encouragement of Questions,2,1.0,2.0,2,2.0,2
Closure,3,1.0,1.0,1,1.0,3
