Question,Consensus Answer,GPT4
Opening,2,3
Elicits Spectrum of Concerns,5,5
Negotiates Priorities and Sets Agenda,5,5
Eliciting the Narrative Thread or the 'Patient's Story',4,4
Timeline,4,5
Organization,4,5
Pacing of Interview,5,5
Types of Questions,5,5
Summarizing,3,4
Duplication,5,5
Lack of Jargon,2,5
Verification of Patient Information,3,5
Verbal Facilitation Skills,4,4
Non-Verbal Facilitation Skills,4,N/A
Empathy and Acknowledging Patient Cues,3,3
Impact of Illness on Patient and Patients Self-Image,4,3
Support Systems,1,1
Encouragement of Questions,5,5
Closure,5,1
