Question,Consensus Answer,GPT4
Opening,4,
Elicits Spectrum of Concerns,2,
Negotiates Priorities and Sets Agenda,2,
Eliciting the Narrative Thread or the 'Patient's Story',3,
Timeline,4,
Organization,4,
Pacing of Interview,4,
Types of Questions,3,
Summarizing,4,
Duplication,3,
Lack of Jargon,3,
Verification of Patient Information,N/A,
Verbal Facilitation Skills,4,
Non-Verbal Facilitation Skills,4,
Empathy and Acknowledging Patient Cues,4,
Impact of Illness on Patient and Patients Self-Image,N/A,
Support Systems,4,
Encouragement of Questions,2,
Closure,4,
ÊPatient's Perspective (Beliefs)Ê,5,N/A
" Patient's Education and Understanding 	",N/A,N/A
" Assess Motivation for Changes 	",N/A,N/A
