Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,5.0,,2.0,2,2,2
Elicits Spectrum of Concerns,5.0,,3.0,5,4,4
Negotiates Priorities and Sets Agenda,4.0,,3.0,5,4,5
Eliciting the Narrative Thread or the 'Patient's Story',4.0,,5.0,4,5,5
Timeline,3.0,,3.0,3,3,3
Organization,5.0,,5.0,5,5,5
Pacing of Interview,5.0,,5.0,5,5,5
Types of Questions,4.0,,5.0,5,5,5
Summarizing,2.0,,1.0,1,5,1
Duplication,5.0,,5.0,5,5,5
Lack of Jargon,5.0,,5.0,5,5,5
Verification of Patient Information,,,5.0,4,5,3
Verbal Facilitation Skills,5.0,,5.0,5,5,5
Non-Verbal Facilitation Skills,5.0,,4.0,5,This conversation cannot be accurately scored for non-verbal communication without descriptive non-verbal cues or behaviors.,5
Empathy and Acknowledging Patient Cues,4.0,,5.0,5,5,5
Impact of Illness on Patient and Patients Self-Image,,,5.0,3,5,3
Support Systems,5.0,,3.0,3,3,3
Encouragement of Questions,5.0,,4.0,3,4,4
Closure,1.0,,5.0,5,4,5
ÊPatient's Perspective (Beliefs)Ê,2.0,,5.0,5,5,5
 Patient's Education and Understanding 	,3.0,,5.0,5,5,3
 Assess Motivation for Changes 	,4.0,,5.0,5,5,5
