Question,Consensus Answer
OPENING,4
ELICITS SPECTRUM OF CONCERNS,5
NEGOTIATES PRIORITIES & SETS AGENDA,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,3
TIMELINE,
ORGANIZATION,4
PACING OF INTERVIEW,5
QUESTIONING SKILLS TYPES OF QUESTIONS,4
QUESTIONING SKILLS SUMMARIZING,4
QUESTIONING SKILLS DUPLICATION,
QUESTIONING SKILLS LACK OF JARGON,4
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,
VERBAL FACILITATION SKILLS,4
NON-VERBAL FACILITATION SKILLS,4
EMPATHY AND ACKNOWLEDGING PATIENT CUES,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,
SUPPORT SYSTEMS,5
ENCOURAGEMENT OF QUESTIONS,5
CLOSURE,5.0
PATIENTS PERSPECTIVE & BELIEFS,4
PATIENTS EDUCATION AND UNDERSTANDING,5
ASSESS MOTIVATION FOR CHANGES,5
ACHIEVE A SHARED PLAN,5
