Question,Consensus Answer
OPENING,3
ELICITS SPECTRUM OF CONCERNS,2
NEGOTIATES PRIORITIES & SETS AGENDA,1
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,5
TIMELINE,4
ORGANIZATION,5
PACING OF INTERVIEW,4
QUESTIONING SKILLS TYPES OF QUESTIONS,3
QUESTIONING SKILLS SUMMARIZING,2
QUESTIONING SKILLS DUPLICATION,4
QUESTIONING SKILLS LACK OF JARGON,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,3
VERBAL FACILITATION SKILLS,4
NON-VERBAL FACILITATION SKILLS,3
EMPATHY AND ACKNOWLEDGING PATIENT CUES,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,4
SUPPORT SYSTEMS,5
ENCOURAGEMENT OF QUESTIONS,2
CLOSURE,3
