ï»¿Question,Consensus Answer
OPENING,5
ELICITS SPECTRUM OF CONCERNS,2
NEGOTIATES PRIORITIES & SETS AGENDA,2
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,3
TIMELINE,4
ORGANIZATION,5
PACING OF INTERVIEW,4
QUESTIONING SKILLS TYPES OF QUESTIONS,3
QUESTIONING SKILLS SUMMARIZING,5
QUESTIONING SKILLS DUPLICATION,5
QUESTIONING SKILLS LACK OF JARGON,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,5
VERBAL FACILITATION SKILLS,4
NON-VERBAL FACILITATION SKILLS,3
EMPATHY AND ACKNOWLEDGING PATIENT CUES,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,4
SUPPORT SYSTEMS,4
ENCOURAGEMENT OF QUESTIONS,2
CLOSURE,3
